Account Number,Post Date,Check,Description,Debit,Credit,Status
"XXXXXX7703",11/7/2023,,"AMZN Mktp US*M92430P63   Amzn.com/billWA",25.73,,Posted
"XXXXXX7703",11/4/2023,,"ELMOS DINER              919-4163823  NC",34.00,,Posted
"XXXXXX7703",11/4/2023,,"VAGUELY REMINISCENT      DURHAM       NC",61.28,,Posted
"XXXXXX7703",10/31/2023,,"ELECTRONIC PMT-THANK YOU RALEIGH      NC",,107.06,Posted
"XXXXXX7703",10/26/2023,,"CANTEEN VENDING          DURHAM       NC",1.75,,Posted
"XXXXXX7703",10/26/2023,,"CANTEEN VENDING          DURHAM       NC",1.75,,Posted
"XXXXXX7703",10/25/2023,,"ELECTRONIC PMT-THANK YOU RALEIGH      NC",,1729.51,Posted
"XXXXXX7703",10/25/2023,,"SHELL OIL 53221920134    DURHAM       NC",45.51,,Posted
"XXXXXX7703",10/25/2023,,"FOOD LION #1573          RALEIGH      NC",45.18,,Posted
"XXXXXX7703",10/25/2023,,"Amazon.com*G17PV6XK3     Amzn.com/billWA",12.87,,Posted
"XXXXXX7703",10/21/2023,,"ELECTRONIC PMT-THANK YOU RALEIGH      NC",,53.00,Posted
"XXXXXX7703",10/21/2023,,"FOOD LION #1608          CHAPEL HILL  NC",12.21,,Posted
"XXXXXX7703",10/14/2023,,"BLOWING ROCK Q           BLOWING ROCK NC",36.96,,Posted
"XXXXXX7703",10/14/2023,,"TROY'S 105 DINER         BOONE        NC",36.00,,Posted
"XXXXXX7703",10/14/2023,,"SQ *THRIFT-SMITH-VINTAGE,Boone        NC",105.93,,Posted
"XXXXXX7703",10/14/2023,,"NEW RIVER BUILDING SUPPL BOONE        NC",33.28,,Posted
"XXXXXX7703",10/13/2023,,"THE ORCHARD AT ALTAPASS  SPRUCE PINE  NC",15.45,,Posted
"XXXXXX7703",10/13/2023,,"KILWINS BLOWING ROCK1    BLOWING ROCK NC",7.37,,Posted
"XXXXXX7703",10/12/2023,,"THE TOWN TAVERN OF BLOWINBLOWING ROCK NC",35.00,,Posted
"XXXXXX7703",10/12/2023,,"SPEEDWAY 7920 7206 VALLEYBLOWING ROCK NC",43.23,,Posted
"XXXXXX7703",10/11/2023,,"TST* SHIKI SUSHI         DURHAM       NC",20.76,,Posted
"XXXXXX7703",10/11/2023,,"FOOD LION #1503          BOONE        NC",45.58,,Posted
"XXXXXX7703",10/8/2023,,"THE SHINY DINER          919-7492200  NC",19.66,,Posted
"XXXXXX7703",10/8/2023,,"TARGET        00011049   GARNER       NC",101.08,,Posted
"XXXXXX7703",10/8/2023,,"FIV*CAUSEFORPAWS SOUTH   RALEIGH      NC",12.19,,Posted
"XXXXXX7703",10/6/2023,,"VTG*Blue Ridge Mountain R800-2377975  NC",885.94,,Posted
"XXXXXX7703",10/4/2023,,"#4 WAKE COUNTY ABC BOARD RALEIGH      NC",86.56,,Posted
"XXXXXX7703",9/30/2023,,"WEAVER STREET MARKET CAR CARRBORO     NC",15.76,,Posted
"XXXXXX7703",9/30/2023,,"FOOD LION #1608          CHAPEL HILL  NC",24.38,,Posted
"XXXXXX7703",9/30/2023,,"TST* Cocoa Cinnamon - LKWDurham       NC",31.18,,Posted
"XXXXXX7703",9/29/2023,,"AMAZON.COM*T145788D1     SEATTLE      WA",213.99,,Posted
